FOLIO,ABSENTEE,HIGH EQUITY,DOWNSIZING,VACANT,55+,INTER FAMILY TRANSFER,TAXES,Prediction_Probability
F# 491007123021000101,0,1,0,1,0.0,0.0,1.0,0.8348981992993062
F# 490629101147000901,1,1,0,0,0.0,0.0,1.0,0.7910294794232907
F# 490816111045000400,0,1,0,0,0.0,0.0,1.0,0.6191836284935136
F# 491004119207000101,0,1,0,0,0.0,0.0,1.0,0.6191836284935136
F# 491012102024000700,1,1,0,0,0.0,0.0,0.0,0.5360489620628568
F# 491212111193000930,1,1,0,0,0.0,0.0,0.0,0.5360489620628568
F# 491402134006000500,0,1,0,0,0.0,0.0,0.0,0.3316767803637633
F# 490117108003000400,0,1,0,0,0.0,0.0,0.0,0.3316767803637633
F# 490816103010000400,0,1,0,0,0.0,0.0,0.0,0.3316767803637633
F# 491124117043000101,0,1,0,0,0.0,0.0,0.0,0.3316767803637633
F# 490734111007000701,0,1,0,0,0.0,0.0,0.0,0.3316767803637633
F# 491415133017000500,0,1,0,0,0.0,0.0,0.0,0.3316767803637633
F# 490327127006000800,0,1,0,0,0.0,0.0,0.0,0.3316767803637633
F# 490821101033000701,0,1,0,0,0.0,0.0,0.0,0.3316767803637633
F# 490816103042000400,0,1,0,0,0.0,0.0,0.0,0.3316767803637633
F# 491136118024000500,0,1,0,0,0.0,1.0,0.0,0.27034322988804926
F# 491125127007000500,0,1,0,0,0.0,1.0,0.0,0.27034322988804926
